Neighbourhood_Group,Room_Type,Avg_Availability
Galway City Council,Shared room,296
Wicklow County Council,Hotel room,293
Donegal County Council,Private room,276.2745
Dublin City Council,Hotel room,270.6
Monaghan County Council,Private room,262.1923
Donegal County Council,Entire home/apt,255.7533
Monaghan County Council,Shared room,248
Tipperary County Council,Private room,243.0313
Tipperary County Council,Entire home/apt,239.4109
Galway City Council,Hotel room,237.7143
Monaghan County Council,Entire home/apt,236.7571
Wicklow County Council,Private room,229.9252
Wexford County Council,Private room,229.0316
Offaly County Council,Entire home/apt,227.0519
Sligo County Council,Entire home/apt,223.7903
Offaly County Council,Private room,220.1515
Wicklow County Council,Entire home/apt,219.5119
Clare County Council,Entire home/apt,217.2221
Wexford County Council,Entire home/apt,214.1439
Clare County Council,Hotel room,207.625
Wexford County Council,Hotel room,204
South Dublin County Council,Private room,188.2
Fingal County Council,Entire home/apt,182.6497
Sligo County Council,Private room,179.8571
Fingal County Council,Shared room,179
South Dublin County Council,Entire home/apt,177.6042
Galway City Council,Entire home/apt,172.4479
Galway City Council,Private room,168.9401
Clare County Council,Private room,162.361
Fingal County Council,Private room,158.8404
Cork City Council,Entire home/apt,147.2692
Dublin City Council,Private room,145.537
Dublin City Council,Entire home/apt,143.69
Cork City Council,Private room,137.4074
Dublin City Council,Shared room,120.3333
Tipperary County Council,Hotel room,87
