Neighbourhood_Group,Total_Properties,Estimated_Revenue
Dublin City Council,2804,3625650
Clare County Council,1001,390107
Galway City Council,680,318530
Donegal County Council,732,299410
Wexford County Council,666,297174
Wicklow County Council,487,271830
Fingal County Council,386,221698
Sligo County Council,421,168055
South Dublin County Council,196,130657
Tipperary County Council,340,129996
Cork City Council,79,74817
Offaly County Council,110,31743
Monaghan County Council,97,31006
